keyword,theme,search_intent,priority,estimated_volume,estimated_competition,estimated_cpc_low,estimated_cpc_high,composite_score,performance_rank,source
what is bodybuilding supplements,Long-Tail Informational,informational,Medium,3168,Medium,0.59,1.29,6.35,22,longtail_variant
bodybuilding supplements benefits,Category Terms,informational,Low,1878,Medium,0.53,1.28,5.85,27,longtail_variant
bodybuilding supplements side effects,Long-Tail Informational,informational,Medium,655,Low,0.22,0.74,6.35,22,longtail_variant
bodybuilding supplements dosage,Category Terms,commercial,Low,500,High,0.88,1.84,4.95,36,longtail_variant
best time to take bodybuilding supplements,Long-Tail Informational,commercial,Medium,1944,Low,0.18,0.57,7.65,9,longtail_variant
bodybuilding supplements vs protein powder,Competitor Terms,commercial,Medium,690,Medium,0.33,1.0,6.35,22,longtail_variant
natural bodybuilding supplements,Category Terms,commercial,Medium,2475,Medium,0.44,1.37,6.95,16,longtail_variant
organic bodybuilding supplements,Category Terms,commercial,Medium,1262,Medium,0.42,1.23,6.45,21,longtail_variant
bodybuilding supplements tips,Long-Tail Informational,informational,Low,1206,Medium,0.48,1.21,5.85,27,longtail_variant
why use bodybuilding supplements,Long-Tail Informational,informational,Low,588,Medium,0.48,1.19,5.35,32,longtail_variant
bodybuilding supplements ingredients,Category Terms,informational,Medium,1664,Low,0.22,0.75,6.85,17,longtail_variant
bodybuilding supplements nutrition facts,Long-Tail Informational,informational,Low,1074,Medium,0.45,1.2,5.85,27,longtail_variant
how to use sports nutrition,Long-Tail Informational,informational,Medium,754,Low,0.21,0.66,6.35,22,longtail_variant
what is sports nutrition,Long-Tail Informational,informational,Low,1611,Medium,0.52,1.14,5.85,27,longtail_variant
sports nutrition benefits,Category Terms,informational,Medium,2215,Medium,0.42,1.36,6.35,22,longtail_variant
sports nutrition side effects,Long-Tail Informational,informational,Low,911,Medium,0.46,1.15,5.35,32,longtail_variant
sports nutrition dosage,Category Terms,commercial,Medium,2773,Low,0.26,0.77,7.95,6,longtail_variant
best time to take sports nutrition,Long-Tail Informational,commercial,Medium,1634,Low,0.21,0.57,7.65,9,longtail_variant
sports nutrition for beginners,Long-Tail Informational,informational,Low,500,Medium,0.4,1.37,5.35,32,longtail_variant
sports nutrition vs protein powder,Competitor Terms,commercial,Medium,3137,Low,0.18,0.62,7.95,6,longtail_variant
natural sports nutrition,Category Terms,commercial,Medium,1960,Low,0.27,0.77,7.45,11,longtail_variant
organic sports nutrition,Category Terms,commercial,Medium,2930,Low,0.23,0.72,7.95,6,longtail_variant
sports nutrition tips,Long-Tail Informational,informational,Medium,2239,Medium,0.59,1.15,6.35,22,longtail_variant
why use sports nutrition,Long-Tail Informational,informational,Low,1044,Medium,0.43,1.36,5.85,27,longtail_variant
sports nutrition ingredients,Category Terms,informational,Medium,2396,Low,0.27,0.81,7.35,12,longtail_variant
sports nutrition nutrition facts,Long-Tail Informational,informational,Medium,3261,Medium,0.44,1.27,6.35,22,longtail_variant
how to use mass gainer,Long-Tail Informational,informational,Low,2308,Medium,0.43,1.04,5.75,28,longtail_variant
what is mass gainer,Long-Tail Informational,informational,Low,3450,Medium,0.48,1.13,5.75,28,longtail_variant
mass gainer benefits,Category Terms,informational,Medium,3472,Low,0.26,0.71,6.75,18,longtail_variant
mass gainer side effects,Long-Tail Informational,informational,Medium,1131,Low,0.25,0.82,6.25,23,longtail_variant
mass gainer dosage,Category Terms,commercial,Medium,3038,Low,0.24,0.8,7.35,12,longtail_variant
best time to take mass gainer,Long-Tail Informational,commercial,Medium,1854,Medium,0.35,1.03,6.65,19,longtail_variant
mass gainer for beginners,Long-Tail Informational,informational,Low,1725,Medium,0.6,1.15,5.25,33,longtail_variant
mass gainer vs protein powder,Competitor Terms,commercial,Medium,713,Low,0.16,0.59,6.95,16,longtail_variant
natural mass gainer,Category Terms,commercial,Medium,1695,Low,0.21,0.79,6.85,17,longtail_variant
organic mass gainer,Category Terms,commercial,Medium,1087,Low,0.29,0.74,6.85,17,longtail_variant
mass gainer guide,Long-Tail Informational,informational,Low,1844,High,0.72,1.97,4.25,40,longtail_variant
mass gainer tips,Long-Tail Informational,informational,Medium,1122,Low,0.27,0.68,6.25,23,longtail_variant
why use mass gainer,Long-Tail Informational,informational,Low,2310,Medium,0.52,1.28,5.75,28,longtail_variant
mass gainer ingredients,Category Terms,informational,Low,891,Medium,0.53,1.19,4.75,38,longtail_variant
mass gainer nutrition facts,Long-Tail Informational,informational,Medium,3192,Medium,0.54,1.15,6.35,22,longtail_variant
